,ce_annual_ndx,distributed_watS,metered_waterS,calculated_lossS,percLoss,water_provider,water_provider_split,,provider_cities,report_year,pop_served,units
13,1924,2762583,2437863,324720,0.12,South Adams County Water and Sanitation District,South Adams County Water and Sanitation District,,NA,2013,53958,"Gallons, Thousands"
17,1926,472067,434949,37118,0.08,Mount Werner Water and Sanitation District,Mount Werner Water and Sanitation District,,NA,2013,4980,"Gallons, Thousands"
18,1927,9816.1,9816.1,0,0,Central Weld County Water District,Central Weld County Water District,,NA,2013,43000,Acre-feet
19,1929,1338.26,1082.37,255.89,0.19,Left Hand Water District,Left Hand Water District,,NA,2013,19075,"Gallons, Millions"
20,1930,758099,1376080,-617981,-0.82,Cherokee Metropolitan District,Cherokee Metropolitan District,,NA,2013,16161,CCF (100 cubic feet)
40,1943,1849230,24295,1824940,0.99,Little Thompson Water District,Little Thompson Water District,,NA,2013,20000,"Gallons, Thousands"
41,1944,753322,681448,71874.2,0.1,Widefield Water and Sanitation District,Widefield Water and Sanitation District,,NA,2013,17365,"Gallons, Thousands"
42,1945,6464870,900655,5564220,0.86,East Larimer County Water District,East Larimer County Water District,,NA,2013,19427,"Gallons, Thousands"
49,1950,2515574,2373247,142322,0.06,East Cherry Creek Valley Water and Sanitation District,East Cherry Creek Valley Water and Sanitation District,,NA,2013,57909,"Gallons, Thousands"
59,1955,1363.13,1235.94,127.19,0.09,Upper Eagle Regional Water Authority,Upper Eagle Regional Water Authority,,NA,2013,39922,"Gallons, Millions"
63,1966,954806000,1782420000,-827614000,-0.87,Security Water and Sanitation District,Security Water and Sanitation District,,NA,2013,18500,Gallons
71,1972,727872,659402,68470,0.09,Tri-County Water Conservancy District,Tri-County Water Conservancy District,,NA,2013,18140,"Gallons, Thousands"
77,1981,3941.87,3125.48,816.39,0.21,Arapahoe County Water and Wastewater Authority,Arapahoe County Water and Wastewater Authority,,NA,2014,31000,Acre-feet
80,1982,3682.1,3035.55,646.55,0.18,Arapahoe County Water and Wastewater Authority,Arapahoe County Water and Wastewater Authority,,NA,2013,31000,Acre-feet
90,1989,9816.1,9816.1,0,0,Central Weld County Water District,Central Weld County Water District,,NA,2014,43000,Acre-feet
95,1995,5158,4721.79,436.21,0.08,North Weld County Water District,North Weld County Water District,,NA,2014,10517,Acre-feet
101,1999,1331,1077,254,0.19,Left Hand Water District,Left Hand Water District,,NA,2014,19289,"Gallons, Millions"
102,2000,457,460.749,-3.75,-0.01,Mount Werner Water and Sanitation District,Mount Werner Water and Sanitation District,,NA,2014,5129,"Gallons, Millions"
103,2001,921.16,696.9,224.26,0.24,Eagle River Water and Sanitation District,Eagle River Water and Sanitation District,,NA,2014,5289,"Gallons, Millions"
107,2003,2089,1836,253,0.12,Saint Charles Mesa Water District,Saint Charles Mesa Water District,,NA,2014,9556,Acre-feet
109,2005,752508,686472,66036.4,0.09,Widefield Water and Sanitation District,Widefield Water and Sanitation District,,NA,2014,17815,"Gallons, Thousands"
110,2006,2748060,2590540,157525,0.06,South Adams County Water and Sanitation District,South Adams County Water and Sanitation District,,NA,2014,55672,"Gallons, Thousands"
130,2018,727922,652303,75619,0.1,Tri-County Water Conservancy District,Tri-County Water Conservancy District,,NA,2014,18140,"Gallons, Thousands"
131,2019,-378,247482,-247860,655.71,Little Thompson Water District,Little Thompson Water District,,NA,2014,20300,"Gallons, Thousands"
139,2023,2480,2330.437,149.56,0.06,East Cherry Creek Valley Water and Sanitation District,East Cherry Creek Valley Water and Sanitation District,,NA,2014,59425,"Gallons, Millions"
143,2026,940996000,1727850000,-786854000,-0.84,Security Water and Sanitation District,Security Water and Sanitation District,,NA,2014,18870,Gallons
151,2032,1477.03,1249.7,227.32,0.15,Upper Eagle Regional Water Authority,Upper Eagle Regional Water Authority,,NA,2014,29873,"Gallons, Millions"
155,2037,1177820,810598,367220,0.31,East Larimer County Water District,East Larimer County Water District,,NA,2014,19660,"Gallons, Thousands"
161,2049,2903490,NA,265486,0.09,South Adams County Water and Sanitation District,South Adams County Water and Sanitation District,,NA,2015,57369,"Gallons, Thousands"
163,2050,4979.3,4546.44,432.86,0.09,North Weld County Water District,North Weld County Water District,,NA,2013,10382,Acre-feet
165,2051,689904,643082,46822,0.07,Widefield Water and Sanitation District,Widefield Water and Sanitation District,,NA,2015,18112,"Gallons, Thousands"
166,2052,4353,3162.2,1190.8,0.27,Arapahoe County Water and Wastewater Authority,Arapahoe County Water and Wastewater Authority,,NA,2015,31000,Acre-feet
186,2060,1384,1092.4,291.6,0.21,Left Hand Water District,Left Hand Water District,,NA,2015,19682,"Gallons, Millions"
194,2066,701424,660346,41078,0.06,Tri-County Water Conservancy District,Tri-County Water Conservancy District,,NA,2015,18242,"Gallons, Thousands"
202,2072,1614360,1800360,-185995,-0.12,Little Thompson Water District,Little Thompson Water District,,NA,2015,20300,"Gallons, Thousands"
209,2075,971.98,685.2,286.78,0.3,Eagle River Water and Sanitation District,Eagle River Water and Sanitation District,,NA,2015,5320,"Gallons, Millions"
218,2080,1477.03,1249.7,227.32,0.15,Upper Eagle Regional Water Authority,Upper Eagle Regional Water Authority,,NA,2015,29873,"Gallons, Millions"
219,2081,880120000,785122000,94998000,0.11,Security Water and Sanitation District,Security Water and Sanitation District,,NA,2015,19247,Gallons
234,2095,1165699,1799079,-633380,-0.54,Cherokee Metropolitan District,Cherokee Metropolitan District,,NA,2016,18200,CCF (100 cubic feet)
241,2117,1912,NA,1912,1,Saint Charles Mesa Water District,Saint Charles Mesa Water District,,NA,2015,9572,Acre-feet
244,2119,3384000,2901950,482050,0.14,South Adams County Water and Sanitation District,South Adams County Water and Sanitation District,,NA,2016,58737,"Gallons, Thousands"
248,2121,1353,1219,134,0.1,Left Hand Water District,Left Hand Water District,,NA,2016,19885,"Gallons, Millions"
249,2122,3802840,3179150,623687,0.16,Central Weld County Water District,Central Weld County Water District,,NA,2016,7500,"Gallons, Thousands"
257,2126,722530,666847,55683,0.08,Tri-County Water Conservancy District,Tri-County Water Conservancy District,,NA,2016,18347,"Gallons, Thousands"
261,2128,1737330,1991890,-254563,-0.15,Little Thompson Water District,Little Thompson Water District,,NA,2016,20300,"Gallons, Thousands"
264,2130,2913230,2681211,232020,0.08,East Cherry Creek Valley Water and Sanitation District,East Cherry Creek Valley Water and Sanitation District,,NA,2016,60639,"Gallons, Thousands"
267,2132,799895,751215,48680,0.06,Widefield Water and Sanitation District,Widefield Water and Sanitation District,,NA,2016,19118,"Gallons, Thousands"
275,2152,5193,4019.3,1173.7,0.23,Arapahoe County Water and Wastewater Authority,Arapahoe County Water and Wastewater Authority,,NA,2016,31000,Acre-feet
279,2154,430,450.801,-20.8,-0.05,Mount Werner Water and Sanitation District,Mount Werner Water and Sanitation District,,NA,2015,5283,"Gallons, Millions"
280,2155,495,508.02,-13.02,-0.03,Mount Werner Water and Sanitation District,Mount Werner Water and Sanitation District,,NA,2016,5442,"Gallons, Millions"
283,2158,939,663.4,275.6,0.29,Eagle River Water and Sanitation District,Eagle River Water and Sanitation District,,NA,2016,5450,"Gallons, Millions"
284,2159,1486,1303,183,0.12,Upper Eagle Regional Water Authority,Upper Eagle Regional Water Authority,,NA,2016,29873,"Gallons, Millions"
286,2162,NA,NA,NA,NA,Security Water and Sanitation District,Security Water and Sanitation District,,NA,2016,19630,*UNSPECIFIED*
291,2165,1674725,1674725,0,0,Cherokee Metropolitan District,Cherokee Metropolitan District,,NA,2014,17493,CCF (100 cubic feet)
293,2166,1600238,1600238,0,0,Cherokee Metropolitan District,Cherokee Metropolitan District,,NA,2015,17843,CCF (100 cubic feet)
301,2173,3268880,3116220,152664,0.05,Central Weld County Water District,Central Weld County Water District,,NA,2015,7400,Acre-feet
306,2176,2775394,2582863,192531,0.07,East Cherry Creek Valley Water and Sanitation District,East Cherry Creek Valley Water and Sanitation District,,NA,2017,65915,"Gallons, Thousands"
308,2177,2531195,2397310,133886,0.05,East Cherry Creek Valley Water and Sanitation District,East Cherry Creek Valley Water and Sanitation District,,NA,2015,59844,"Gallons, Thousands"
310,2178,3391730,2869590,522140,0.15,South Adams County Water and Sanitation District,South Adams County Water and Sanitation District,,NA,2017,60046,"Gallons, Thousands"
319,2186,NA,NA,NA,NA,Arapahoe County Water and Wastewater Authority,Arapahoe County Water and Wastewater Authority,,NA,2017,31000,Acre-feet
338,2195,3443210,3253770,189436,0.06,Central Weld County Water District,Central Weld County Water District,,NA,2017,7500,"Gallons, Thousands"
339,2196,779779,747207,32572,0.04,Widefield Water and Sanitation District,Widefield Water and Sanitation District,,NA,2017,19880,"Gallons, Thousands"
351,2204,811869,705773,106096,0.13,Tri-County Water Conservancy District,Tri-County Water Conservancy District,,NA,2017,18520,"Gallons, Thousands"
356,2207,1291,1193.7,97.3,0.08,Left Hand Water District,Left Hand Water District,,NA,2017,20166,"Gallons, Millions"
361,2212,498,481.69,16.31,0.03,Mount Werner Water and Sanitation District,Mount Werner Water and Sanitation District,,NA,2017,6500,"Gallons, Millions"
362,2213,1721240,2291760,-570523,-0.33,Little Thompson Water District,Little Thompson Water District,,NA,2017,20300,"Gallons, Thousands"
364,2215,839706000,799275000,40431000,0.05,Security Water and Sanitation District,Security Water and Sanitation District,,NA,2017,19924,Gallons
377,2223,884,697.7,186.3,0.21,Eagle River Water and Sanitation District,Eagle River Water and Sanitation District,,NA,2017,5486,"Gallons, Millions"
378,2224,1468,1325.8,142.2,0.1,Upper Eagle Regional Water Authority,Upper Eagle Regional Water Authority,,NA,2017,28756,"Gallons, Millions"
58,1954,921.16,690.94,230.22,0.25,Eagle River Water and Sanitation District,Eagle River Water and Sanitation District,,NA,2013,5289,"Gallons, Millions"
334,2193,1043136,1626473,-583337,-0.56,Cherokee Metropolitan District,Cherokee Metropolitan District,,NA,2017,18564,CCF (100 cubic feet)
11,1921,14454,14454.2,-0.2,0,"Arvada, City of",Arvada, City of,Arvada,2013,109745,Acre-feet
108,2004,14987,14650,337,0.02,"Arvada, City of",Arvada, City of,Arvada,2014,111707,Acre-feet
201,2071,14990,14677,313,0.02,"Arvada, City of",Arvada, City of,Arvada,2015,113574,Acre-feet
266,2131,16625,16221,404,0.02,"Arvada, City of",Arvada, City of,Arvada,2016,117453,Acre-feet
344,2199,16612,16248,364,0.02,"Arvada, City of",Arvada, City of,Arvada,2017,118807,Acre-feet
46,1949,1037732.5,NA,-477817.5,-0.46,"Aspen, City of",Aspen, City of,Aspen,2013,10381,"Gallons, Thousands"
174,2056,1427837,NA,467953,0.33,"Aspen, City of",Aspen, City of,Aspen,2015,10632,"Gallons, Thousands"
197,2069,NA,NA,NA,NA,"Aspen, City of",Aspen, City of,Aspen,2014,10506,"Gallons, Thousands"
250,2123,1302,NA,-982575,-754.67,"Aspen, City of",Aspen, City of,Aspen,2016,10760,"Gallons, Thousands"
311,2179,1442,NA,-884095,-613.1,"Aspen, City of",Aspen, City of,Aspen,2017,10889,"Gallons, Thousands"
1,1912,15314762,14685916,628846,0.04,"Aurora, City of",Aurora, City of,Aurora,2013,351200,"Gallons, Thousands"
74,1980,15271665,14682358,589307,0.04,"Aurora, City of",Aurora, City of,Aurora,2014,351200,"Gallons, Thousands"
158,2048,15897392,15193649,703743,0.04,"Aurora, City of",Aurora, City of,Aurora,2015,351200,"Gallons, Thousands"
254,2125,16707343,16558343,149035,0.01,"Aurora, City of",Aurora, City of,Aurora,2016,367710,"Gallons, Thousands"
348,2201,16789159,16441526,347593,0.02,"Aurora, City of",Aurora, City of,Aurora,2017,366623,"Gallons, Thousands"
38,1941,17631,15531,2100,0.12,"Boulder, City of",Boulder, City of,Boulder,2013,113621,Acre-feet
142,2025,17455,15528,1927,0.11,"Boulder, City of",Boulder, City of,Boulder,2014,114200,Acre-feet
200,2070,17727,15904,1823,0.1,"Boulder, City of",Boulder, City of,Boulder,2015,117000,Acre-feet
240,2111,19103,16835,2268,0.12,"Boulder, City of",Boulder, City of,Boulder,2016,117000,Acre-feet
355,2206,18126,16145,1981,0.11,"Boulder, City of",Boulder, City of,Boulder,2017,121000,Acre-feet
22,1932,604,569.249,34.75,0.06,"Breckenridge, Town of",Breckenridge, Town of,Breckenridge,2013,5040,"Gallons, Millions"
88,1988,564.01,1117.675,-553.66,-0.98,"Breckenridge, Town of",Breckenridge, Town of,Breckenridge,2014,5040,"Gallons, Millions"
232,2093,1173.59,937.577,236.01,0.2,"Breckenridge, Town of",Breckenridge, Town of,Breckenridge,2015,5040,"Gallons, Millions"
302,2174,1116,1042.27,73.73,0.07,"Breckenridge, Town of",Breckenridge, Town of,Breckenridge,2016,5040,"Gallons, Millions"
358,2209,1074,1015.97,58.03,0.05,"Breckenridge, Town of",Breckenridge, Town of,Breckenridge,2017,5040,"Gallons, Millions"
56,1953,1619774.13,1489415.71,130358.42,0.08,"Brighton, City of",Brighton, City of,Brighton,2013,35144,"Gallons, Thousands"
128,2017,5907.96,5776,131.96,0.02,"Brighton, City of",Brighton, City of,Brighton,2014,35367,Acre-feet
177,2057,5590,5650.41,-60.41,-0.01,"Brighton, City of",Brighton, City of,Brighton,2015,36469,Acre-feet
268,2133,1967324800,1827580100,139744704,0.07,"Brighton, City of",Brighton, City of,Brighton,2016,36381,Acre-feet
329,2191,2076317800,2220431000,-144108200,-0.07,"Brighton, City of",Brighton, City of,Brighton,2017,37924,Gallons
8,1920,8468,10972.93,-2504.93,-0.3,"Broomfield, City and County of",Broomfield, City and County of,Broomfield,2013,60885,Acre-feet
132,2020,8031,11666.69,-3635.69,-0.45,"Broomfield, City and County of",Broomfield, City and County of,Broomfield,2014,62371,Acre-feet
210,2076,8243,11552.68,-3309.68,-0.4,"Broomfield, City and County of",Broomfield, City and County of,Broomfield,2015,65456,Acre-feet
287,2163,9898,13209.15,-3311.15,-0.33,"Broomfield, City and County of",Broomfield, City and County of,Broomfield,2016,66516,Acre-feet
352,2205,9271,11761.49,-2490.49,-0.27,"Broomfield, City and County of",Broomfield, City and County of,Broomfield,2017,68090,Acre-feet
285,2161,1732410,1613770,118644,0.07,"Canon City, City of",Canon City, City of,Canon City,2016,25000,"Gallons, Thousands"
